Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Default World Unity.Scenes.Editor.EditorSubSceneLiveConversionSystem";0.0198;0.0198;0.0198;177;177;177;7;7;0.0197999998927116;0.0198;0.0198;0.0198;1;1;1;1;1;177;0.0198;0.0198;177;177;0.0198
"AudioManager.Update";0.0196;0.0196;0.0196;177;177;177;4;4;0.0196000002324581;0.0196;0.0196;0.0196;1;1;1;1;1;177;0.0196;0.0196;177;177;0.0196
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::BatchRendererGroup.InvokeOnFinishedCulling() [Invoke]";0.0192;0.0192;0.0192;177;177;177;7;7;0.0191999990493059;0.0192;0.0192;0.0192;4;4;4;4;1;177;0.0001;0.0185;177;177;0.0192
"FixedUpdate.Physics2DFixedUpdate";0.0188;0.0188;0.0188;177;177;177;3;3;0.0187999997287989;0.0188;0.0188;0.0188;2;2;2;2;1;177;0.0036;0.0152;177;177;0.0188
"WaitForJobGroupID";0.0186;0.0186;0.0186;177;177;177;6;13;0.0186000000685453;0.0186;0.0186;0.0186;5;5;5;5;1;177;0.0015;0.0064;177;177;0.0186
"Default World Unity.Rendering.EntitiesGraphicsSystem";0.0181;0.0181;0.0181;177;177;177;6;6;0.0180999990552664;0.0181;0.0181;0.0181;1;1;1;1;1;177;0.0181;0.0181;177;177;0.0181
"Inl_NRPRGComp_ExecuteDestroyResources";0.0181;0.0181;0.0181;177;177;177;8;8;0.0180999990552664;0.0181;0.0181;0.0181;32;32;32;32;1;177;0.0001;0.0054;177;177;0.0181
"Default World Unity.Entities.UpdateWorldTimeSystem";0.018;0.018;0.018;177;177;177;6;6;0.0179999992251396;0.018;0.018;0.018;1;1;1;1;1;177;0.018;0.018;177;177;0.018
"Shadows.PrepareDrawShadows";0.018;0.018;0.018;177;177;177;7;7;0.0179999992251396;0.018;0.018;0.018;2;2;2;2;1;177;0.006;0.012;177;177;0.018
"CopyDepth";0.0177;0.0177;0.0177;177;177;177;9;10;0.0176999997347593;0.0177;0.0177;0.0177;2;2;2;2;1;177;0.0087;0.009;177;177;0.0177
"Default World Unity.Rendering.UpdateHybridChunksStructure";0.0177;0.0177;0.0177;177;177;177;7;7;0.0176999997347593;0.0177;0.0177;0.0177;1;1;1;1;1;177;0.0177;0.0177;177;177;0.0177
"ObjectDispatcher.CollectInstancesAndTransforms";0.0177;0.0177;0.0177;177;177;177;6;8;0.0176999997347593;0.0177;0.0177;0.0177;4;4;4;4;1;177;0.0002;0.0133;177;177;0.0177
"Default World Unity.Physics.Systems.PhysicsCreateBodyPairsGroup";0.0176;0.0176;0.0176;177;177;177;9;9;0.0175999999046326;0.0176;0.0176;0.0176;1;1;1;1;1;177;0.0176;0.0176;177;177;0.0176
"DrawDepthNormalPrepass";0.0174;0.0174;0.0174;177;177;177;9;9;0.017400000244379;0.0174;0.0174;0.0174;2;2;2;2;1;177;0.0053;0.0121;177;177;0.0174
"UpdateHybridChunksStructure";0.0169;0.0169;0.0169;177;177;177;8;8;0.0168999992311001;0.0169;0.0169;0.0169;1;1;1;1;1;177;0.0169;0.0169;177;177;0.0169
"CullAllVisibleLights";0.0161;0.0161;0.0161;177;177;177;9;9;0.016100000590086;0.0161;0.0161;0.0161;1;1;1;1;1;177;0.0161;0.0161;177;177;0.0161
"Default World Unity.Physics.Systems.BroadphaseSystem";0.016;0.016;0.016;177;177;177;10;10;0.0160000007599592;0.016;0.016;0.016;1;1;1;1;1;177;0.016;0.016;177;177;0.016
"Default World Unity.Physics.Systems.BuildPhysicsWorldDependencyResolver";0.0158;0.0158;0.0158;177;177;177;10;10;0.0157999992370605;0.0158;0.0158;0.0158;1;1;1;1;1;177;0.0158;0.0158;177;177;0.0158
"Default World Unity.Physics.Systems.ExportPhysicsWorld";0.0158;0.0158;0.0158;177;177;177;8;8;0.0157999992370605;0.0158;0.0158;0.0158;1;1;1;1;1;177;0.0158;0.0158;177;177;0.0158
